,Words (split by space),anger,disgust,fear,joy,sad,surprise
303,review alpha dog misses the point,0.014781,0.063996,0.029335,0.190091,0.317596,0.384202
304,andromeda involved in galactic collision,0.174036,0.100146,0.220225,0.000000,0.337996,0.167598
305,injured marathon winner leaves hospital,0.060752,0.011760,0.094326,0.504271,0.264287,0.064605
306,kate is marrying doherty,0.016187,0.000000,0.204291,0.408719,0.073897,0.296906
307,baghdad plan is a success iraq prime minister tells bush,0.214223,0.101537,0.197122,0.214584,0.195638,0.076896
308,beckham outlines reasons for move,0.164171,0.058964,0.130771,0.247041,0.221895,0.177158
309,al qaeda chiefs are seen to regain power,0.150586,0.063196,0.465809,0.053718,0.141601,0.125089
310,start late retire rich,0.047694,0.040180,0.183692,0.294560,0.287507,0.146367
311,autos drive european gains,0.091390,0.003901,0.109583,0.543194,0.034383,0.217549
312,immigrants and french reach deal in standoff,0.107441,0.040461,0.190877,0.276776,0.171288,0.213157
